日期,时间,场站名称,A3主站可用功率(MW),AGC远方指令值(MW),出清曲线(MW),历史辐照度(W/m²),可利用发电功率(MW),实际功率(MW),短波辐射(派岸光伏电站),辐照度(派岸光伏电站)
2026-02-04,00:00:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,00:15:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,00:30:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,00:45:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,01:00:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,01:15:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,01:30:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,01:45:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,02:00:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,02:15:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,02:30:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,02:45:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,03:00:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,03:15:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,03:30:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,03:45:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,04:00:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,04:15:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,04:30:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,04:45:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,05:00:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,05:15:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,05:30:00,派岸光伏电站,0,0,0,0,0,0.29,0,0
2026-02-04,05:45:00,派岸光伏电站,0,0,0,0,0,0.3,0,0
2026-02-04,06:00:00,派岸光伏电站,0,0,0,0,0,0,0,0
2026-02-04,06:15:00,派岸光伏电站,0,0,0,2.75,0,0.54,0,0
2026-02-04,06:30:00,派岸光伏电站,0,0,0,5.5,0,0.3,0,0
2026-02-04,06:45:00,派岸光伏电站,0,0,0,8.25,0,0.3,0,0
2026-02-04,07:00:00,派岸光伏电站,0,0,0,11,0,0.29,0,0
2026-02-04,07:15:00,派岸光伏电站,0,0,0,31.5,0,0.29,0,0
2026-02-04,07:30:00,派岸光伏电站,0.03,0,0.59,52,0,0.3,0,2.73
2026-02-04,07:45:00,派岸光伏电站,0.47,0,0.94,72.5,0,0,5,16.98
2026-02-04,08:00:00,派岸光伏电站,0.06,1,0.62,93,2.03,0.75,24,15
2026-02-04,08:15:00,派岸光伏电站,0.19,2,2.14,129.75,3.11,1.96,52,23
2026-02-04,08:30:00,派岸光伏电站,3.07,6,6.79,166.5,5,4.23,88,37
2026-02-04,08:45:00,派岸光伏电站,6.95,13,13.9,203.25,6.48,6.03,124,48
2026-02-04,09:00:00,派岸光伏电站,8.08,19,19.37,240,8.91,8.77,161,59
2026-02-04,09:15:00,派岸光伏电站,11.12,15,14.38,263.75,12.82,12.56,196,84
2026-02-04,09:30:00,派岸光伏电站,11.54,12,12.54,287.5,12.96,12.97,231,96
2026-02-04,09:45:00,派岸光伏电站,13.69,15,15.93,311.25,15.53,14.96,266,115
2026-02-04,10:00:00,派岸光伏电站,16.48,18,17.56,335,18.24,18.04,300,125
2026-02-04,10:15:00,派岸光伏电站,18.48,21,21.8,356,21.18,20.95,334,145
2026-02-04,10:30:00,派岸光伏电站,18.46,24,24.33,377,25.66,24.09,369,190
2026-02-04,10:45:00,派岸光伏电站,22.9,27,27.27,398,27.24,26.91,410,200
2026-02-04,11:00:00,派岸光伏电站,30.29,30,30.8,419,30.29,29.98,458,215
2026-02-04,11:15:00,派岸光伏电站,25.09,31,31.58,390,35.25,30.99,510,261
2026-02-04,11:30:00,派岸光伏电站,28.87,33,33.93,361,34.98,32.95,559,259
2026-02-04,11:45:00,派岸光伏电站,27.19,36,37.21,332,36.17,35.78,601,263
2026-02-04,12:00:00,派岸光伏电站,26.45,36,35.88,303,39.57,35.98,641,293
2026-02-04,12:15:00,派岸光伏电站,26.91,36,36.35,329.75,42,36.09,676,311
2026-02-04,12:30:00,派岸光伏电站,30.18,38,38.65,356.5,51.45,37.96,695,381
2026-02-04,12:45:00,派岸光伏电站,32.33,40,40.25,383.25,63.61,39.06,695,471
2026-02-04,13:00:00,派岸光伏电站,33.7,48,48.19,410,57.13,46.97,670,423
2026-02-04,13:15:00,派岸光伏电站,37.7,58,58.7,380.25,60.91,54.62,631,451
2026-02-04,13:30:00,派岸光伏电站,38.43,53,53.01,350.5,50.1,49.65,590,371
2026-02-04,13:45:00,派岸光伏电站,35.19,56,56.64,320.75,46.42,46.05,555,298
2026-02-04,14:00:00,派岸光伏电站,37.64,46,46.1,291,46.49,47.05,522,306
2026-02-04,14:15:00,派岸光伏电站,31.44,42,41.48,293.25,51.45,42,489,381
