集电线路,箱变号,逆变器号,组串号,组串状态
第四集电线路1#,1,1,23,空支路
第四集电线路1#,1,1,24,空支路
第四集电线路1#,1,2,24,空支路
第四集电线路1#,1,3,23,空支路
第四集电线路1#,1,3,24,空支路
第四集电线路1#,1,4,24,空支路
第四集电线路1#,1,5,23,空支路
第四集电线路1#,1,5,24,空支路
第四集电线路1#,1,6,23,空支路
第四集电线路1#,1,6,24,空支路
第四集电线路1#,1,7,17,空支路
第四集电线路1#,1,8,24,空支路
第四集电线路1#,1,9,23,空支路
第四集电线路1#,1,9,24,空支路
第四集电线路1#,1,10,7,零支路
第四集电线路1#,1,10,24,空支路
第四集电线路1#,1,11,23,空支路
第四集电线路1#,1,11,24,空支路
第四集电线路1#,1,12,24,空支路
第四集电线路2#,2,1,24,空支路
第四集电线路2#,2,2,24,空支路
第四集电线路2#,2,3,24,空支路
第四集电线路2#,2,4,24,空支路
第四集电线路2#,2,5,24,空支路
第四集电线路2#,2,6,24,空支路
第四集电线路2#,2,7,24,空支路
第四集电线路2#,2,8,24,空支路
第四集电线路2#,2,9,22,空支路
第四集电线路2#,2,10,24,空支路
第四集电线路2#,2,11,24,空支路
第四集电线路2#,2,12,23,空支路
第四集电线路2#,2,12,24,空支路
第四集电线路3#,3,1,24,空支路
第四集电线路3#,3,2,24,空支路
第四集电线路3#,3,3,24,空支路
第四集电线路3#,3,4,24,空支路
第四集电线路3#,3,5,24,空支路
第四集电线路3#,3,6,8,空支路
第四集电线路3#,3,6,21,零支路
第四集电线路3#,3,7,24,空支路
第四集电线路3#,3,8,24,空支路
第四集电线路3#,3,9,24,空支路
第四集电线路3#,3,10,24,空支路
第四集电线路4#,4,1,24,空支路
第四集电线路4#,4,2,24,空支路
第四集电线路4#,4,3,24,空支路
第四集电线路4#,4,4,24,空支路
第四集电线路4#,4,5,3,空支路
第四集电线路4#,4,6,24,空支路
第四集电线路4#,4,7,22,零支路
第四集电线路4#,4,7,24,空支路
第四集电线路58#,58,1,22,空支路
第四集电线路58#,58,1,23,空支路
第四集电线路58#,58,1,24,空支路
第四集电线路58#,58,2,21,空支路
第四集电线路58#,58,2,22,空支路
第四集电线路58#,58,2,23,空支路
第四集电线路58#,58,2,24,空支路
第四集电线路58#,58,3,21,空支路
第四集电线路58#,58,3,22,空支路
第四集电线路58#,58,3,23,空支路
第四集电线路58#,58,3,24,空支路
第四集电线路58#,58,4,22,空支路
第四集电线路58#,58,4,23,空支路
第四集电线路58#,58,4,24,空支路
第四集电线路58#,58,5,22,空支路
第四集电线路58#,58,5,23,空支路
第四集电线路58#,58,5,24,空支路
第四集电线路58#,58,6,18,零支路
第四集电线路58#,58,6,22,空支路
第四集电线路58#,58,6,23,空支路
第四集电线路58#,58,6,24,空支路
第四集电线路58#,58,7,22,空支路
第四集电线路58#,58,7,23,空支路
第四集电线路58#,58,7,24,空支路
第四集电线路59#,59,1,24,空支路
第四集电线路59#,59,2,24,空支路
第四集电线路59#,59,3,24,空支路
第四集电线路59#,59,4,24,空支路
第四集电线路59#,59,5,24,空支路
第四集电线路59#,59,6,24,空支路
第四集电线路59#,59,7,24,空支路
第四集电线路59#,59,8,24,空支路
第四集电线路59#,59,9,24,空支路
第四集电线路59#,59,10,24,空支路
第四集电线路60#,60,1,1,空支路
第四集电线路60#,60,1,24,空支路
第四集电线路60#,60,2,24,空支路
第四集电线路60#,60,3,24,空支路
第四集电线路60#,60,4,24,空支路
第四集电线路60#,60,5,21,空支路
第四集电线路60#,60,5,22,空支路
第四集电线路60#,60,5,23,空支路
第四集电线路60#,60,5,24,空支路
第四集电线路60#,60,6,15,空支路
第四集电线路60#,60,6,19,空支路
第四集电线路60#,60,6,20,空支路
第四集电线路60#,60,6,21,空支路
第四集电线路60#,60,6,22,空支路
第四集电线路60#,60,6,23,空支路
第四集电线路60#,60,6,24,空支路
第三集电线路24#,24,2,24,空支路
第三集电线路24#,24,3,24,空支路
第三集电线路24#,24,5,24,空支路
第三集电线路24#,24,6,24,空支路
第三集电线路24#,24,7,24,空支路
第三集电线路24#,24,8,24,空支路
第三集电线路24#,24,9,24,空支路
第三集电线路24#,24,10,24,空支路
第三集电线路24#,24,11,24,空支路
第三集电线路24#,24,12,24,空支路
第三集电线路24#,24,13,2,空支路
第三集电线路25#,25,5,1,风灾未修复
第三集电线路25#,25,5,2,风灾未修复
第三集电线路25#,25,6,7,风灾未修复
第三集电线路25#,25,6,23,空支路
第三集电线路25#,25,6,24,空支路
第三集电线路25#,25,11,3,风灾未修复
第三集电线路25#,25,11,4,风灾未修复
第三集电线路25#,25,11,5,风灾未修复
第三集电线路25#,25,11,8,风灾未修复
第三集电线路25#,25,13,24,空支路
第三集电线路26#,26,1,24,空支路
第三集电线路26#,26,2,24,空支路
第三集电线路26#,26,3,24,空支路
第三集电线路26#,26,4,24,空支路
第三集电线路26#,26,5,1,零支路
第三集电线路26#,26,5,24,空支路
第三集电线路26#,26,6,20,空支路
第三集电线路26#,26,6,23,空支路
第三集电线路26#,26,6,24,空支路
第三集电线路26#,26,8,24,空支路
第三集电线路27#,27,1,24,空支路
第三集电线路27#,27,2,24,空支路
第三集电线路27#,27,3,24,空支路
